level1,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
급여(사무실),"11,595.30","3,691.75","7,268.26","7,272.72","6,984.84","6,985.49","6,983.72","6,630.59","6,616.85","6,611.87","6,675.79"
복리후생비(사무실),"4,071.95","2,193.34","2,347.80","2,636.60","2,046.94","2,551.40","2,278.33","2,367.02","2,629.02","2,123.62","2,730.02"
광고비,"15,608.37","12,008.20","12,613.91","12,621.33","10,921.73","11,441.65","17,623.83","15,390.34","12,129.28","14,525.12","9,327.68"
수주회, - ,200, - , - , - , - ,"6,000.00", - ,200, - , - 
지급수수료,"2,246.65","2,192.47","1,812.73","2,323.58","2,095.47","1,530.76","1,660.38","2,355.95","1,107.98","1,750.07","2,101.60"
임차료,"1,912.46","1,912.46","1,912.46","1,912.46","1,912.46","1,912.46","1,912.46","1,912.46","1,912.46","1,912.46","1,912.46"
감가상각비(영업비),374.51,371.73,374.37,369.53,368.31,366.13,361.6,352.02,354.27,353.46,351.37
세금과공과,218.52,212.14,146.86,"1,969.86","1,656.48",890.72,997.51,"1,401.46","3,600.00","1,329.36","4,568.00"
기타(영업비),164.88,249.09,266.74,251.02,347.68,270.1,319.34,337.09,338.56,321.21,285.57
