계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
MLB,"1,393,743,753","523,788,706","824,075,072","794,864,971","500,543,534","442,092,925","673,244,242","1,215,424,701","1,289,351,272","943,335,567","615,976,701","829,349,206"
KIDS,"70,181,436","54,509,144","49,861,598","39,474,964","17,271,033","12,949,383","30,655,679","64,589,304","79,759,303","51,859,818","22,464,148","38,820,476"
DISCOVERY,0,0,0,0,0,0,0,0,"71,370","918,953","5,454,326","9,301,685"
DUVETICA,"9,048,860","6,430,540","-5,330,640","6,192,160","1,769,420","953,620","-3,308,720","-10,565,550","-6,266,630","-2,225,730","1,725,790","8,664,600"
SUPRA,"3,992,497","4,437,413","3,457,902","-1,524,298","2,167,082","-2,233,875","-3,196,779","-2,699,645","-2,193,155","-663,643","-1,241,238","3,143,446"
실판매출,"628,378,761","262,020,592","370,866,214","360,284,057","247,707,865","210,779,509","302,220,333","503,318,005","551,315,838","439,354,787","301,178,536","388,847,522"
매출원가,"411,254,739","167,931,476","266,647,243","255,997,952","147,498,396","130,456,670","186,974,271","392,179,195","456,233,137","338,705,555","216,047,544","288,815,424"
평가감,"-3,076,725","-3,076,725","-3,076,725","-4,057,753","-4,057,753","-4,057,753","468,466","9,656,188","13,088,981","14,826,417","16,375,569","85,445,876"
급여(매장),"3,706,398","4,820,788","3,542,984","3,780,039","3,224,237","3,323,688","2,792,297","3,091,332","3,197,024","5,623,142","3,702,099","4,783,835"
복리후생비(매장),"1,798,563","1,549,980","1,752,600","1,637,133","1,732,184","1,721,970","1,566,098","2,538,090","2,081,718","2,018,183","2,313,349","2,062,471"
플랫폼수수료,"3,979,509","3,038,670","3,904,742","3,484,651","3,631,980","4,132,085","2,049,352","2,412,696","3,265,467","6,086,053","8,944,244","5,281,669"
TP수수료,"3,388,413","3,514,593","3,783,557","2,868,194","3,423,128","4,017,843","1,961,948","2,544,244","2,738,768","4,892,340","4,814,698","4,014,404"
직접광고비,"9,278,632","4,171,738","8,053,471","3,915,321","8,097,307","8,150,211","2,204,104","4,049,797","6,463,393","18,084,678","17,110,026","10,555,847"
대리상지원금,"22,424,690","7,880,632","11,968,297","11,310,702","6,433,855","6,176,651","10,601,277","19,470,909","19,023,633","11,227,501","7,600,699","-10,428,552"
물류비,"9,212,430","5,133,034","8,399,038","6,788,772","6,317,022","5,378,449","5,689,693","9,045,141","6,892,174","7,130,291","7,554,497","9,114,887"
매장임차료,"17,338,347","15,929,777","14,150,874","14,844,859","15,270,952","13,414,266","13,037,915","12,998,971","13,513,512","16,115,439","14,939,694","16,541,525"
감가상각비,"1,441,170","1,466,826","1,526,141","1,686,311","1,536,986","1,437,680","1,532,449","1,515,777","1,546,856","1,661,225","1,592,448","1,645,536"
기타(직접비),"3,186,291","1,209,541","1,258,742","1,762,644","1,596,081","2,216,752","1,204,591","2,146,294","1,642,262","2,355,579","1,757,352","2,555,237"
급여(사무실),"7,419,693","11,540,733","6,561,794","7,903,808","8,069,481","8,146,838","7,811,174","7,848,892","7,778,650","8,090,118","8,046,044","7,884,331"
복리후생비(사무실),"3,913,948","2,440,956","2,280,101","2,072,353","2,322,415","2,471,708","2,210,405","2,546,944","2,688,163","2,566,648","2,685,401","3,302,059"
광고비,"25,404,672","11,607,081","10,260,164","11,347,562","6,871,935","3,561,492","4,364,911","19,142,906","20,159,011","18,067,004","16,754,337","12,223,362"
수주회,"307,370","452,459",0,0,0,"8,657,620","347,068","-207,503","979,138",0,0,0
지급수수료,"1,164,469","1,834,924","1,050,314","1,611,706","1,225,979","1,349,237","975,029","735,897","1,378,027","1,561,705","1,051,765","1,702,672"
임차료,"1,253,509","1,528,055","1,528,379","1,524,366","1,525,880","1,526,379","1,525,605","1,539,090","1,545,824","1,601,591","1,660,064","1,675,209"
감가상각비(영업비),"499,445","497,464","497,260","484,529","494,276","481,974","482,680","507,950","512,240","516,723","516,723","352,009"
세금과공과,"3,155,403","176,977","221,101","165,506","1,956,275","1,453,402","885,569","287,724","1,557,420","298,617","331,911","2,608,951"
기타(영업비),"412,187","332,259","378,825","467,540","221,432","650,310","330,176","293,327","353,966","472,819","469,691","603,793"
